,Number,Date,Primary Target,Target Attacked,Comments,Month,Day
0,49,1944-01-04,"Target: Port AreaType: TransportationLocation: Kiel, Germany",Primary,Port AttackedPilot/Aircraft losses:Kaczaraba / 42‑5838 ⇗,1,4
1,50,1944-01-05,"Target: Port AreaType: TransportationLocation: Kiel, Germany",Primary,Smokescreen Not EffectiveNo Aircraft Lost,1,5
2,51,1944-01-07,"Target: PowerhouseType: IndustryLocation: Ludwigshafen, Germany",Primary,Few Aircraft Join FormationPilot/Aircraft losses:Garner / 41‑24525 ⇗,1,7
3,52,1944-01-11,"Target: Ju-88 Aircraft Parts PlantType: Aircraft IndustryLocation: Halberstadt, Germany",Other,Port City BombedNo Aircraft Lost,1,11
4,53,1944-01-14,"Target: NOBALL (V-1 Launch Site)Type: CROSSBOW (V-Weapons)Location: Le Meillard, France",Primary,V-Weapons Site BombedPilot/Aircraft losses:Britt / 42‑31246 ⇗,1,14
5,54,1944-01-21,"Target: NOBALL (V-1 Launch Site)Type: CROSSBOW (V-Weapons)Location: Preuseville, France",Primary,Weather Affects BombingNo Aircraft Lost,1,21
6,55,1944-01-29,"Target: Aircraft Parts PlantsType: Aircraft IndustryLocation: Frankfurt am Main, Germany",Primary,Technology Trumps Overcast TargetsNo Aircraft Lost,1,29
7,56,1944-01-30,"Target: Aircraft Assembly PlantType: Aircraft IndustryLocation: Brunswick / Braunschweig, Germany",Primary,Aircraft Plant AttackedPilot/Aircraft losses:Penney / 42‑37727 ⇗Ross / 42‑5444 ⇗Writz / 42‑5404 ⇗,1,30
8,57,1944-02-03,"Target: Submarines (under construction)Type: Submarine FacilityLocation: Wilhelmshaven, Germany",Primary,Challenging WeatherNo Aircraft Lost,2,3
9,58,1944-02-04,"Target: Alfred Teves Main Works: Aircraft Parts PlantType: Aircraft IndustryLocation: Frankfurt am Main, Germany",Primary,Attack On Aircraft Parts PlantNo Aircraft Lost,2,4
10,59,1944-02-05,"Target: Bricy Aerodrome, Luftwaffe Training and Bomber AirfieldType: German Air Force (Luftwaffe)Location: Orleans, France",Primary,Luftwaffe Airfield BombedNo Aircraft Lost,2,5
11,60,1944-02-06,"Target: Nancy/Essey AerodromeType: German Air Force (Luftwaffe)Location: Nancy, France",None,"Clouds, Snow Conceal TargetsNo Aircraft Lost",2,6
12,61,1944-02-08,"Target: Piston Ring FactoryType: IndustryLocation: Frankfurt am Main, Germany",Primary,Radar Bombing TodayPilot/Aircraft losses:Covington / 42‑39784 ⇗,2,8
13,62,1944-02-11,"Target: Propeller Factory (Foundry)Type: Aircraft IndustryLocation: Frankfurt am Main, Germany",TOO,Visual Attack Despite ConfusionPilot/Aircraft losses:Moore / 42‑40005 ⇗Widener / 42‑39962 ⇗,2,11
14,63,1944-02-20,"Type: Aircraft IndustryLocation: Leipzig & Bernburg, Germany",Primary,Big Week Begins!No Aircraft Lost,2,20
15,64,1944-02-21,"Target: Fighter Field & Aircraft Storage DepotType: German Air Force (Luftwaffe)Location: Werl, Germany",TOO,Big Week: Day TwoNo Aircraft Lost,2,21
16,65,1944-02-22,"Target: Aircraft FactoryType: Aircraft IndustryLocation: Halberstadt & Aschersleben, Germany",Primary,"Big Week, Day ThreePilot/Aircraft losses:DeFrees / 42‑97488 ⇗Jeter / 42‑31516 ⇗Kew / 42‑3087 ⇗Markow / 42‑97450 ⇗McDonald / 42‑39809 ⇗",2,22
17,66,1944-02-24,"Target: Ball-Bearing PlantType: Bearings IndustryLocation: Schweinfurt, Germany",Primary,"Big Week, Day FiveNo Aircraft Lost",2,24
18,67,1944-02-25,"Target: Aircraft Assembly & Ball Bearings PlantsType: IndustryLocation: Augsburg & Stuttgart, Germany",Primary,"Big Week, Last DayPilot/Aircraft losses:Larsen / 42‑29717 ⇗",2,25
19,68,1944-02-28,"Target: NOBALL (V-1 Launch Site)Type: CROSSBOW (V-Weapons)Location: Preuseville, France",None,Weather Prevents BombingPilot/Aircraft losses:Rinne / 42‑31058 ⇗,2,28
20,69,1944-03-02,"Target: Alfred Teves Main Works: Aircraft Parts Plant and Machine ShopType: Aircraft IndustryLocation: Frankfurt am Main, Germany",Primary,"Radar Bombing, Results UnobservedNo Aircraft Lost",3,2
21,70,1944-03-03,"Target: Roller-Bearing FactoryType: Bearings IndustryLocation: Berlin, Germany",None,8th AF: Mission RecalledNo Aircraft Lost,3,3
22,71,1944-03-04,"Type: MilitaryLocation: Berlin, Germany",TOO,Weather Alters MissionPilot/Aircraft losses:Carpenter / 42‑39991 ⇗Cosentino / 42‑32007 ⇗Lovvorn / 42‑31606 ⇗,3,4
